epoch,global_step,model,loss,lr,seconds,peak_memory_gib
1,1251,b16,0.2914153540448891,3.9968025579536374e-05,1004.8164865411818,26.453115940093994
2,2502,b16,0.1092042625665093,7.996802557953638e-05,882.3788271714002,26.453115940093994
3,3753,b16,0.09474817606852018,0.00011996802557953639,887.8313911706209,26.453115940093994
4,5004,b16,0.0866081853755277,0.0001599680255795364,883.4603870632127,26.453115940093994
5,6255,b16,0.0814120432169889,0.0001999680255795364,872.7113938219845,26.453115940093994
6,7506,b16,0.07784006559400916,0.0002,878.9703584462404,26.453115940093994
7,8757,b16,0.07532907389908386,0.0002,882.3207755172625,26.453115940093994
8,10008,b16,0.0737121667412164,0.0002,878.1380204791203,26.453115940093994
9,11259,b16,0.07262174879237235,0.0002,876.7474094871432,26.453115940093994
10,12510,b16,0.07169385341336305,0.0002,877.9030285207555,26.453115940093994
11,13761,b16,0.07102375960559677,0.0002,879.0240243962035,26.453115940093994
12,15012,b16,0.07053328894501586,0.0002,881.5066363783553,26.453115940093994
13,16263,b16,0.0700819410389657,0.0002,882.2141336016357,26.453115940093994
14,17514,b16,0.069745662210466,0.0002,876.4463254408911,26.453115940093994
15,18765,b16,0.06940405927211356,0.0002,876.2262691808864,26.453115940093994
16,20016,b16,0.0690829416544889,0.0002,881.0766604207456,26.453115940093994
17,21267,b16,0.0688802778577919,0.0002,879.1455891737714,26.453115940093994
18,22518,b16,0.0686209211341864,0.0002,877.0449260231107,26.453115940093994
19,23769,b16,0.06847360246568371,0.0002,878.6375129073858,26.453115940093994
20,25020,b16,0.06831279361276604,0.0002,880.2987024812028,26.453115940093994
21,26271,b16,0.06814782548960831,0.0002,878.3928175093606,26.453115940093994
22,27522,b16,0.06801734515707747,0.0002,876.6582239381969,26.453115940093994
23,28773,b16,0.06792463978036321,0.0002,877.0358819207177,26.453115940093994
24,30024,b16,0.06777741869004796,0.0002,877.1067366329953,26.453115940093994
25,31275,b16,0.06768419492921288,0.0002,878.1506010368466,26.453115940093994
26,32526,b16,0.06759765527421813,0.0002,876.7641007043421,26.453115940093994
27,33777,b16,0.06748848967700839,0.0002,874.0602698335424,26.453115940093994
28,35028,b16,0.0674374074958783,0.0002,877.4936931040138,26.453115940093994
29,36279,b16,0.06735766172218476,0.0002,870.6709733260795,26.453115940093994
30,37530,b16,0.06727244547135729,0.0002,874.0308778155595,26.453115940093994
31,38781,b16,0.06718775370328738,0.0002,874.1108768070117,26.453115940093994
32,40032,b16,0.06712382779323416,0.0002,875.6763997320086,26.453115940093994
33,41283,b16,0.0670670250908648,0.0002,872.5778717622161,26.453115940093994
34,42534,b16,0.06703215918476156,0.0002,872.539226481691,26.453115940093994
35,43785,b16,0.06698708416079636,0.0002,876.0612524189055,26.453115940093994
36,45036,b16,0.06696100639020033,0.0002,876.6955164959654,26.453115940093994
37,46287,b16,0.06690903990674647,0.0002,877.3624832183123,26.453115940093994
38,47538,b16,0.06683370954603504,0.0002,877.0029830150306,26.453115940093994
39,48789,b16,0.06677721787413819,0.0002,876.4103358192369,26.453115940093994
40,50040,b16,0.06678873819889401,0.0002,877.792357198894,26.453115940093994
